T:203, train_loss:0.99925, train_acc:0.50949, val_loss=1.06267, val_acc=0.49846
T:204, train_loss:0.99370, train_acc:0.50559, val_loss=1.10175, val_acc=0.36883
T:205, train_loss:0.98395, train_acc:0.51423, val_loss=1.34826, val_acc=0.46759
T:206, train_loss:0.99120, train_acc:0.50678, val_loss=1.16636, val_acc=0.43519
T:207, train_loss:0.99150, train_acc:0.50598, val_loss=1.21970, val_acc=0.45988
T:208, train_loss:1.00401, train_acc:0.49170, val_loss=1.20641, val_acc=0.45216
T:209, train_loss:1.01116, train_acc:0.49283, val_loss=1.06111, val_acc=0.48920
T:210, train_loss:1.01029, train_acc:0.49706, val_loss=1.20394, val_acc=0.46759
T:211, train_loss:1.01305, train_acc:0.50288, val_loss=1.09534, val_acc=0.49074
T:212, train_loss:1.01806, train_acc:0.49898, val_loss=1.06382, val_acc=0.49846
T:213, train_loss:1.01956, train_acc:0.50282, val_loss=1.11831, val_acc=0.47222
T:214, train_loss:1.01930, train_acc:0.50932, val_loss=1.10960, val_acc=0.49537
T:215, train_loss:1.01006, train_acc:0.51553, val_loss=1.13823, val_acc=0.50154
T:216, train_loss:1.03135, train_acc:0.49176, val_loss=1.05444, val_acc=0.50463
T:217, train_loss:1.03343, train_acc:0.48323, val_loss=1.03878, val_acc=0.50154
T:218, train_loss:1.01896, train_acc:0.49238, val_loss=1.03098, val_acc=0.50309
T:219, train_loss:1.02208, train_acc:0.48989, val_loss=1.45540, val_acc=0.50000
T:220, train_loss:1.01112, train_acc:0.49859, val_loss=1.01702, val_acc=0.49846
T:221, train_loss:1.01864, train_acc:0.49469, val_loss=1.02032, val_acc=0.52006
T:222, train_loss:1.01050, train_acc:0.49684, val_loss=1.00830, val_acc=0.53858
T:223, train_loss:1.00041, train_acc:0.50717, val_loss=1.05112, val_acc=0.53549
T:224, train_loss:1.01534, train_acc:0.49204, val_loss=1.04289, val_acc=0.54321
T:225, train_loss:1.01827, train_acc:0.48950, val_loss=1.08219, val_acc=0.54630
T:226, train_loss:1.02781, train_acc:0.48374, val_loss=1.06266, val_acc=0.54321
T:227, train_loss:1.03644, train_acc:0.47053, val_loss=1.03081, val_acc=0.55401
T:228, train_loss:1.03729, train_acc:0.46500, val_loss=1.02136, val_acc=0.56019
T:229, train_loss:1.04855, train_acc:0.46195, val_loss=0.99528, val_acc=0.54784
T:230, train_loss:1.04045, train_acc:0.46737, val_loss=0.98914, val_acc=0.55710
T:231, train_loss:1.03704, train_acc:0.47634, val_loss=1.01485, val_acc=0.55556
T:232, train_loss:1.03249, train_acc:0.48143, val_loss=0.98380, val_acc=0.56636
T:233, train_loss:1.03711, train_acc:0.47572, val_loss=1.00574, val_acc=0.54167
T:234, train_loss:1.03323, train_acc:0.47488, val_loss=1.07789, val_acc=0.54167
T:235, train_loss:1.03773, train_acc:0.47905, val_loss=0.99670, val_acc=0.55864
T:236, train_loss:1.04449, train_acc:0.46765, val_loss=0.99540, val_acc=0.55093
T:237, train_loss:1.04464, train_acc:0.47047, val_loss=0.97368, val_acc=0.56944
T:238, train_loss:1.04267, train_acc:0.47070, val_loss=1.15067, val_acc=0.50154
T:239, train_loss:1.03923, train_acc:0.47900, val_loss=0.98658, val_acc=0.56481
T:240, train_loss:1.03771, train_acc:0.47081, val_loss=1.09207, val_acc=0.54630
