Total train data points: 3040, Won: 45.526315789473685%, Lost: 29.04605263157895%, Draw: 25.42763157894737%
Total val data points: 380, Won: 47.63157894736842%, Lost: 33.68421052631579%, Draw: 18.68421052631579%
Total test data points: 380, Won: 45.26315789473684%, Lost: 30.526315789473685%, Draw: 24.210526315789473%
GNN model, data {} 0
Continuous evaluation
3420
T:216, train_loss:0.96251, train_acc:0.54438, val_loss=1.28234, val_acc=0.44599
T:217, train_loss:0.96606, train_acc:0.54528, val_loss=1.19328, val_acc=0.42747
T:218, train_loss:0.95525, train_acc:0.54455, val_loss=1.16955, val_acc=0.43519
T:219, train_loss:0.94546, train_acc:0.54359, val_loss=1.13803, val_acc=0.42901
T:220, train_loss:0.94119, train_acc:0.55019, val_loss=1.12283, val_acc=0.44136
T:221, train_loss:0.93908, train_acc:0.55623, val_loss=1.16312, val_acc=0.41204
T:222, train_loss:0.95721, train_acc:0.54353, val_loss=1.18294, val_acc=0.42747
T:223, train_loss:0.95500, train_acc:0.54449, val_loss=1.17603, val_acc=0.41821
T:224, train_loss:0.96423, train_acc:0.53704, val_loss=1.16542, val_acc=0.44753
T:225, train_loss:0.96676, train_acc:0.53167, val_loss=1.15957, val_acc=0.43981
T:226, train_loss:0.96212, train_acc:0.54217, val_loss=1.14016, val_acc=0.44290
T:227, train_loss:0.98402, train_acc:0.52721, val_loss=1.11297, val_acc=0.45679
T:228, train_loss:0.98327, train_acc:0.52970, val_loss=1.09040, val_acc=0.46605
T:229, train_loss:0.98018, train_acc:0.52445, val_loss=1.09207, val_acc=0.45679
T:230, train_loss:0.97995, train_acc:0.51541, val_loss=1.11204, val_acc=0.41667
T:231, train_loss:0.97369, train_acc:0.52179, val_loss=1.09591, val_acc=0.42747
T:232, train_loss:0.96913, train_acc:0.52721, val_loss=1.06643, val_acc=0.46605
T:233, train_loss:0.96319, train_acc:0.51795, val_loss=1.10410, val_acc=0.45833
T:234, train_loss:0.97642, train_acc:0.51541, val_loss=1.09136, val_acc=0.45370
T:235, train_loss:0.97547, train_acc:0.51366, val_loss=1.10519, val_acc=0.47840
T:236, train_loss:0.97357, train_acc:0.51880, val_loss=1.08569, val_acc=0.43673
T:237, train_loss:0.98068, train_acc:0.50672, val_loss=1.08521, val_acc=0.44136
T:238, train_loss:0.99252, train_acc:0.49650, val_loss=1.11625, val_acc=0.46451
T:239, train_loss:0.97100, train_acc:0.50926, val_loss=1.11197, val_acc=0.42901
T:240, train_loss:1.00301, train_acc:0.49125, val_loss=1.19755, val_acc=0.47222
T:241, train_loss:0.97955, train_acc:0.49797, val_loss=1.09076, val_acc=0.41512
T:242, train_loss:0.98123, train_acc:0.49560, val_loss=1.09289, val_acc=0.45525
T:243, train_loss:0.98071, train_acc:0.49853, val_loss=1.15004, val_acc=0.47222
T:244, train_loss:0.98010, train_acc:0.50965, val_loss=1.17088, val_acc=0.44290
T:245, train_loss:0.97070, train_acc:0.50751, val_loss=1.19236, val_acc=0.46451
T:246, train_loss:0.96524, train_acc:0.49656, val_loss=1.23986, val_acc=0.43519
T:247, train_loss:0.96302, train_acc:0.49455, val_loss=1.18689, val_acc=0.41821
T:248, train_loss:0.97237, train_acc:0.49599, val_loss=1.21194, val_acc=0.41049
T:249, train_loss:0.96945, train_acc:0.50196, val_loss=1.15745, val_acc=0.42901
T:250, train_loss:0.96383, train_acc:0.50622, val_loss=1.23569, val_acc=0.43673
T:251, train_loss:0.97767, train_acc:0.50180, val_loss=1.19886, val_acc=0.45370
T:252, train_loss:0.96992, train_acc:0.49964, val_loss=1.17874, val_acc=0.42593
T:253, train_loss:0.98416, train_acc:0.50053, val_loss=1.17745, val_acc=0.44136
T:254, train_loss:0.96900, train_acc:0.51341, val_loss=1.11028, val_acc=0.44444
T:255, train_loss:0.96446, train_acc:0.51363, val_loss=1.12658, val_acc=0.44136
T:256, train_loss:0.95571, train_acc:0.51717, val_loss=1.06151, val_acc=0.46142
T:257, train_loss:0.97378, train_acc:0.50274, val_loss=1.05305, val_acc=0.46759
T:258, train_loss:0.95327, train_acc:0.51457, val_loss=1.09962, val_acc=0.47068
T:259, train_loss:0.95505, train_acc:0.52707, val_loss=1.08413, val_acc=0.46605
T:260, train_loss:0.95635, train_acc:0.51612, val_loss=1.07051, val_acc=0.47840
T:261, train_loss:0.95338, train_acc:0.50716, val_loss=1.04880, val_acc=0.45988
T:262, train_loss:0.96508, train_acc:0.51197, val_loss=1.07300, val_acc=0.44444
T:263, train_loss:0.96467, train_acc:0.50628, val_loss=1.15108, val_acc=0.45679
T:264, train_loss:0.97527, train_acc:0.50440, val_loss=1.14620, val_acc=0.43519
T:265, train_loss:0.96981, train_acc:0.49975, val_loss=1.11311, val_acc=0.44753
T:266, train_loss:0.97055, train_acc:0.50445, val_loss=1.12283, val_acc=0.47531
T:267, train_loss:0.96797, train_acc:0.50108, val_loss=1.10941, val_acc=0.46451
T:268, train_loss:0.95019, train_acc:0.50169, val_loss=1.10966, val_acc=0.43827
T:269, train_loss:0.94982, train_acc:0.49118, val_loss=1.13770, val_acc=0.45988
T:270, train_loss:0.93162, train_acc:0.50899, val_loss=1.17967, val_acc=0.45216
T:271, train_loss:0.91185, train_acc:0.52807, val_loss=1.21053, val_acc=0.43981
T:272, train_loss:0.91912, train_acc:0.52680, val_loss=1.24359, val_acc=0.43519
T:273, train_loss:0.91431, train_acc:0.53310, val_loss=1.19045, val_acc=0.42747
T:274, train_loss:0.91276, train_acc:0.53476, val_loss=1.19448, val_acc=0.43673
T:275, train_loss:0.92093, train_acc:0.52829, val_loss=1.20204, val_acc=0.46451
T:276, train_loss:0.93424, train_acc:0.52010, val_loss=1.12851, val_acc=0.45679
T:277, train_loss:0.92915, train_acc:0.52154, val_loss=1.14371, val_acc=0.43827
T:278, train_loss:0.93866, train_acc:0.51524, val_loss=1.22250, val_acc=0.46451
T:279, train_loss:0.93659, train_acc:0.52215, val_loss=1.19993, val_acc=0.44753
T:280, train_loss:0.92901, train_acc:0.52110, val_loss=1.18246, val_acc=0.49383
T:281, train_loss:0.92620, train_acc:0.53797, val_loss=1.14025, val_acc=0.47377
T:282, train_loss:0.92936, train_acc:0.52569, val_loss=1.12746, val_acc=0.47222
T:283, train_loss:0.93078, train_acc:0.52978, val_loss=1.12812, val_acc=0.47531
T:284, train_loss:0.92494, train_acc:0.53122, val_loss=1.12592, val_acc=0.49691
T:285, train_loss:0.91814, train_acc:0.52270, val_loss=1.18146, val_acc=0.49074
T:286, train_loss:0.94169, train_acc:0.52132, val_loss=1.20437, val_acc=0.48611
T:287, train_loss:0.92233, train_acc:0.52486, val_loss=1.17354, val_acc=0.48920
T:288, train_loss:0.90211, train_acc:0.54035, val_loss=1.32544, val_acc=0.51698
T:289, train_loss:0.90567, train_acc:0.53371, val_loss=1.29814, val_acc=0.50463
T:290, train_loss:0.91201, train_acc:0.53802, val_loss=1.33505, val_acc=0.50000
T:291, train_loss:0.88321, train_acc:0.56070, val_loss=1.35017, val_acc=0.50772
T:292, train_loss:0.85825, train_acc:0.58083, val_loss=1.35847, val_acc=0.50617
T:293, train_loss:0.84715, train_acc:0.59189, val_loss=1.48382, val_acc=0.52006
T:294, train_loss:0.82116, train_acc:0.59886, val_loss=1.42086, val_acc=0.50000
T:295, train_loss:0.82220, train_acc:0.61020, val_loss=1.55125, val_acc=0.50154
T:296, train_loss:0.80718, train_acc:0.61319, val_loss=1.71750, val_acc=0.51698
T:297, train_loss:0.81714, train_acc:0.61501, val_loss=1.88072, val_acc=0.51698
